carnet,nombre,carrera,departamento,promedio
EST014717,Estudiante 14717,Administración,San Miguel,8.53
EST014718,Estudiante 14718,Arquitectura,La Libertad,8.86
EST014719,Estudiante 14719,Administración,San Miguel,5.69
EST014720,Estudiante 14720,Contaduría,San Miguel,5.1
EST014721,Estudiante 14721,Administración,Sonsonate,8.95
EST014722,Estudiante 14722,Ingeniería en Sistemas,La Libertad,7.84
EST014723,Estudiante 14723,Arquitectura,Santa Ana,9.71
EST014724,Estudiante 14724,Contaduría,San Miguel,8.49
EST014725,Estudiante 14725,Ingeniería Industrial,San Miguel,6.87
EST014726,Estudiante 14726,Ingeniería en Sistemas,La Libertad,6.81
EST014727,Estudiante 14727,Ingeniería en Sistemas,Sonsonate,9.22
EST014728,Estudiante 14728,Administración,Santa Ana,8.74
EST014729,Estudiante 14729,Arquitectura,La Libertad,7.01
EST014730,Estudiante 14730,Contaduría,La Libertad,5.93
EST014731,Estudiante 14731,Contaduría,San Salvador,6.26
EST014732,Estudiante 14732,Administración,Santa Ana,6.72
EST014733,Estudiante 14733,Ingeniería en Sistemas,Sonsonate,7.17
EST014734,Estudiante 14734,Contaduría,La Libertad,9.07
EST014735,Estudiante 14735,Arquitectura,Santa Ana,5.07
EST014736,Estudiante 14736,Administración,Sonsonate,7.79
EST014737,Estudiante 14737,Administración,San Miguel,6.3
EST014738,Estudiante 14738,Arquitectura,Sonsonate,5.43
EST014739,Estudiante 14739,Contaduría,Sonsonate,9.66
EST014740,Estudiante 14740,Arquitectura,Sonsonate,9.0
EST014741,Estudiante 14741,Ingeniería Industrial,San Salvador,8.46
EST014742,Estudiante 14742,Ingeniería Industrial,La Libertad,5.28
EST014743,Estudiante 14743,Ingeniería en Sistemas,La Libertad,7.08
EST014744,Estudiante 14744,Ingeniería en Sistemas,La Libertad,8.56
EST014745,Estudiante 14745,Ingeniería Industrial,Santa Ana,9.97
EST014746,Estudiante 14746,Ingeniería en Sistemas,Sonsonate,7.96
EST014747,Estudiante 14747,Contaduría,Sonsonate,7.85
EST014748,Estudiante 14748,Arquitectura,Sonsonate,5.02
EST014749,Estudiante 14749,Administración,La Libertad,5.44
EST014750,Estudiante 14750,Administración,San Miguel,9.91
EST014751,Estudiante 14751,Ingeniería en Sistemas,Santa Ana,7.05
EST014752,Estudiante 14752,Administración,San Salvador,8.52
EST014753,Estudiante 14753,Ingeniería Industrial,San Miguel,7.28
EST014754,Estudiante 14754,Arquitectura,Sonsonate,8.3
EST014755,Estudiante 14755,Administración,San Salvador,9.81
EST014756,Estudiante 14756,Ingeniería Industrial,San Miguel,8.74
EST014757,Estudiante 14757,Administración,San Miguel,8.54
EST014758,Estudiante 14758,Contaduría,Sonsonate,8.32
EST014759,Estudiante 14759,Ingeniería en Sistemas,Santa Ana,9.58
EST014760,Estudiante 14760,Administración,San Miguel,5.11
EST014761,Estudiante 14761,Contaduría,Sonsonate,9.61
EST014762,Estudiante 14762,Contaduría,Sonsonate,8.71
EST014763,Estudiante 14763,Ingeniería Industrial,Santa Ana,7.51
EST014764,Estudiante 14764,Administración,San Salvador,7.04
EST014765,Estudiante 14765,Arquitectura,La Libertad,8.92
EST014766,Estudiante 14766,Ingeniería Industrial,La Libertad,8.49
EST014767,Estudiante 14767,Contaduría,Santa Ana,9.99
EST014768,Estudiante 14768,Arquitectura,San Miguel,7.43
EST014769,Estudiante 14769,Ingeniería en Sistemas,San Salvador,5.39
EST014770,Estudiante 14770,Arquitectura,San Miguel,5.85
EST014771,Estudiante 14771,Administración,Santa Ana,6.63
EST014772,Estudiante 14772,Arquitectura,Sonsonate,5.41
EST014773,Estudiante 14773,Contaduría,San Miguel,6.91
EST014774,Estudiante 14774,Ingeniería Industrial,La Libertad,6.11
EST014775,Estudiante 14775,Arquitectura,Santa Ana,6.94
EST014776,Estudiante 14776,Arquitectura,San Miguel,7.82
EST014777,Estudiante 14777,Contaduría,Santa Ana,6.19
EST014778,Estudiante 14778,Contaduría,San Miguel,8.27
EST014779,Estudiante 14779,Administración,Santa Ana,7.61
EST014780,Estudiante 14780,Arquitectura,Sonsonate,7.29
EST014781,Estudiante 14781,Ingeniería Industrial,Sonsonate,9.62
EST014782,Estudiante 14782,Ingeniería Industrial,San Miguel,9.39
EST014783,Estudiante 14783,Ingeniería Industrial,Santa Ana,6.47
EST014784,Estudiante 14784,Arquitectura,San Miguel,5.8
EST014785,Estudiante 14785,Ingeniería Industrial,Santa Ana,6.82
EST014786,Estudiante 14786,Administración,Santa Ana,6.14
EST014787,Estudiante 14787,Administración,San Miguel,7.4
EST014788,Estudiante 14788,Contaduría,San Salvador,7.74
EST014789,Estudiante 14789,Arquitectura,San Salvador,7.47
EST014790,Estudiante 14790,Arquitectura,Santa Ana,9.8
EST014791,Estudiante 14791,Ingeniería en Sistemas,Sonsonate,6.23
EST014792,Estudiante 14792,Ingeniería Industrial,San Miguel,5.98
EST014793,Estudiante 14793,Contaduría,San Salvador,7.44
EST014794,Estudiante 14794,Ingeniería Industrial,La Libertad,8.07
EST014795,Estudiante 14795,Arquitectura,Santa Ana,6.85
EST014796,Estudiante 14796,Arquitectura,San Salvador,8.04
EST014797,Estudiante 14797,Administración,San Miguel,6.09
EST014798,Estudiante 14798,Contaduría,Santa Ana,7.85
EST014799,Estudiante 14799,Ingeniería en Sistemas,San Salvador,9.4
EST014800,Estudiante 14800,Arquitectura,San Salvador,5.93
EST014801,Estudiante 14801,Contaduría,Sonsonate,7.65
EST014802,Estudiante 14802,Arquitectura,San Salvador,5.3
EST014803,Estudiante 14803,Ingeniería en Sistemas,San Miguel,9.76
EST014804,Estudiante 14804,Arquitectura,La Libertad,7.17
EST014805,Estudiante 14805,Ingeniería Industrial,San Salvador,7.08
EST014806,Estudiante 14806,Contaduría,Sonsonate,7.57
EST014807,Estudiante 14807,Ingeniería en Sistemas,Sonsonate,8.62
EST014808,Estudiante 14808,Ingeniería Industrial,Sonsonate,9.23
EST014809,Estudiante 14809,Ingeniería Industrial,San Miguel,5.43
EST014810,Estudiante 14810,Ingeniería en Sistemas,Sonsonate,7.25
EST014811,Estudiante 14811,Ingeniería en Sistemas,La Libertad,7.49
EST014812,Estudiante 14812,Contaduría,San Miguel,5.61
EST014813,Estudiante 14813,Administración,Sonsonate,6.49
EST014814,Estudiante 14814,Administración,San Salvador,8.65
EST014815,Estudiante 14815,Arquitectura,Sonsonate,9.53
EST014816,Estudiante 14816,Ingeniería en Sistemas,San Salvador,9.34
EST014817,Estudiante 14817,Ingeniería Industrial,La Libertad,6.18
EST014818,Estudiante 14818,Contaduría,San Miguel,5.06
EST014819,Estudiante 14819,Arquitectura,San Miguel,5.08
EST014820,Estudiante 14820,Ingeniería Industrial,San Salvador,8.59
EST014821,Estudiante 14821,Contaduría,Sonsonate,7.44
EST014822,Estudiante 14822,Ingeniería Industrial,Santa Ana,8.46
EST014823,Estudiante 14823,Contaduría,La Libertad,8.73
EST014824,Estudiante 14824,Administración,San Salvador,9.22
EST014825,Estudiante 14825,Contaduría,Santa Ana,9.15
EST014826,Estudiante 14826,Ingeniería Industrial,Santa Ana,6.15
EST014827,Estudiante 14827,Ingeniería en Sistemas,San Salvador,8.09
EST014828,Estudiante 14828,Ingeniería en Sistemas,Santa Ana,7.22
EST014829,Estudiante 14829,Ingeniería Industrial,La Libertad,7.29
EST014830,Estudiante 14830,Contaduría,San Miguel,9.8
EST014831,Estudiante 14831,Ingeniería en Sistemas,San Salvador,5.41
EST014832,Estudiante 14832,Ingeniería en Sistemas,Santa Ana,5.87
EST014833,Estudiante 14833,Ingeniería Industrial,San Salvador,9.67
EST014834,Estudiante 14834,Ingeniería Industrial,San Miguel,7.83
EST014835,Estudiante 14835,Ingeniería Industrial,Sonsonate,7.15
EST014836,Estudiante 14836,Ingeniería Industrial,Santa Ana,8.09
EST014837,Estudiante 14837,Contaduría,Sonsonate,7.26
EST014838,Estudiante 14838,Ingeniería en Sistemas,Santa Ana,8.69
EST014839,Estudiante 14839,Contaduría,San Miguel,8.23
EST014840,Estudiante 14840,Contaduría,San Salvador,8.77
EST014841,Estudiante 14841,Arquitectura,Sonsonate,5.22
EST014842,Estudiante 14842,Administración,La Libertad,5.81
EST014843,Estudiante 14843,Ingeniería Industrial,Santa Ana,8.01
EST014844,Estudiante 14844,Contaduría,Santa Ana,8.64
EST014845,Estudiante 14845,Ingeniería en Sistemas,La Libertad,8.42
EST014846,Estudiante 14846,Ingeniería Industrial,San Miguel,8.22
EST014847,Estudiante 14847,Arquitectura,San Miguel,9.2
EST014848,Estudiante 14848,Ingeniería en Sistemas,San Salvador,5.91
EST014849,Estudiante 14849,Ingeniería en Sistemas,San Miguel,5.29
EST014850,Estudiante 14850,Ingeniería Industrial,La Libertad,7.48
EST014851,Estudiante 14851,Arquitectura,San Salvador,6.5
EST014852,Estudiante 14852,Ingeniería en Sistemas,La Libertad,7.71
EST014853,Estudiante 14853,Arquitectura,San Salvador,8.52
EST014854,Estudiante 14854,Ingeniería Industrial,Santa Ana,7.38
EST014855,Estudiante 14855,Arquitectura,San Salvador,5.82
EST014856,Estudiante 14856,Arquitectura,San Miguel,6.97
EST014857,Estudiante 14857,Contaduría,Sonsonate,9.38
EST014858,Estudiante 14858,Ingeniería en Sistemas,San Salvador,8.57
EST014859,Estudiante 14859,Ingeniería en Sistemas,San Miguel,7.53
EST014860,Estudiante 14860,Arquitectura,San Miguel,5.79
EST014861,Estudiante 14861,Contaduría,La Libertad,5.86
EST014862,Estudiante 14862,Ingeniería Industrial,Santa Ana,6.99
EST014863,Estudiante 14863,Ingeniería en Sistemas,San Salvador,9.31
EST014864,Estudiante 14864,Ingeniería Industrial,Sonsonate,9.5
EST014865,Estudiante 14865,Administración,San Miguel,7.05
EST014866,Estudiante 14866,Ingeniería Industrial,San Miguel,6.35
EST014867,Estudiante 14867,Contaduría,San Miguel,5.43
EST014868,Estudiante 14868,Arquitectura,San Salvador,8.31
EST014869,Estudiante 14869,Arquitectura,San Miguel,8.65
EST014870,Estudiante 14870,Ingeniería en Sistemas,Sonsonate,5.9
EST014871,Estudiante 14871,Ingeniería en Sistemas,La Libertad,6.78
EST014872,Estudiante 14872,Arquitectura,La Libertad,9.3
EST014873,Estudiante 14873,Ingeniería Industrial,San Salvador,7.04
EST014874,Estudiante 14874,Ingeniería en Sistemas,La Libertad,9.23
EST014875,Estudiante 14875,Contaduría,La Libertad,5.72
EST014876,Estudiante 14876,Contaduría,San Salvador,8.21
EST014877,Estudiante 14877,Arquitectura,San Salvador,8.29
EST014878,Estudiante 14878,Arquitectura,La Libertad,9.83
EST014879,Estudiante 14879,Contaduría,San Miguel,8.07
EST014880,Estudiante 14880,Arquitectura,San Salvador,8.14
EST014881,Estudiante 14881,Contaduría,Sonsonate,6.48
EST014882,Estudiante 14882,Arquitectura,La Libertad,9.45
EST014883,Estudiante 14883,Arquitectura,Santa Ana,7.03
EST014884,Estudiante 14884,Ingeniería en Sistemas,San Salvador,8.28
EST014885,Estudiante 14885,Contaduría,Sonsonate,6.79
EST014886,Estudiante 14886,Arquitectura,Santa Ana,7.48
EST014887,Estudiante 14887,Administración,San Miguel,9.9
EST014888,Estudiante 14888,Administración,Santa Ana,8.13
EST014889,Estudiante 14889,Administración,San Salvador,8.27
EST014890,Estudiante 14890,Ingeniería Industrial,Sonsonate,7.08
EST014891,Estudiante 14891,Ingeniería en Sistemas,San Salvador,9.33
EST014892,Estudiante 14892,Ingeniería en Sistemas,La Libertad,7.25
EST014893,Estudiante 14893,Ingeniería Industrial,Sonsonate,8.9
EST014894,Estudiante 14894,Ingeniería en Sistemas,La Libertad,7.59
EST014895,Estudiante 14895,Contaduría,Sonsonate,8.71
EST014896,Estudiante 14896,Arquitectura,San Salvador,7.53
EST014897,Estudiante 14897,Arquitectura,La Libertad,8.2
EST014898,Estudiante 14898,Administración,Sonsonate,5.12
EST014899,Estudiante 14899,Arquitectura,San Salvador,5.36
EST014900,Estudiante 14900,Ingeniería en Sistemas,San Salvador,8.77
EST014901,Estudiante 14901,Ingeniería en Sistemas,San Miguel,5.47
EST014902,Estudiante 14902,Ingeniería en Sistemas,San Miguel,6.44
EST014903,Estudiante 14903,Contaduría,San Salvador,6.96
EST014904,Estudiante 14904,Contaduría,San Salvador,5.35
EST014905,Estudiante 14905,Ingeniería Industrial,Sonsonate,5.21
EST014906,Estudiante 14906,Ingeniería en Sistemas,La Libertad,7.65
EST014907,Estudiante 14907,Arquitectura,San Miguel,6.17
EST014908,Estudiante 14908,Arquitectura,San Miguel,9.21
EST014909,Estudiante 14909,Contaduría,Santa Ana,6.89
EST014910,Estudiante 14910,Contaduría,San Salvador,5.49
EST014911,Estudiante 14911,Ingeniería Industrial,Santa Ana,7.12
EST014912,Estudiante 14912,Ingeniería Industrial,Santa Ana,7.62
EST014913,Estudiante 14913,Ingeniería Industrial,La Libertad,6.44
EST014914,Estudiante 14914,Arquitectura,La Libertad,8.75
EST014915,Estudiante 14915,Administración,San Miguel,7.97
EST014916,Estudiante 14916,Contaduría,Santa Ana,5.15
EST014917,Estudiante 14917,Ingeniería Industrial,La Libertad,7.02
EST014918,Estudiante 14918,Ingeniería Industrial,Sonsonate,5.5
EST014919,Estudiante 14919,Ingeniería en Sistemas,San Miguel,8.49
EST014920,Estudiante 14920,Ingeniería en Sistemas,San Miguel,5.39
EST014921,Estudiante 14921,Arquitectura,San Salvador,5.3
EST014922,Estudiante 14922,Ingeniería Industrial,San Salvador,6.29
EST014923,Estudiante 14923,Ingeniería Industrial,Sonsonate,8.06
EST014924,Estudiante 14924,Ingeniería Industrial,Santa Ana,5.66
EST014925,Estudiante 14925,Administración,Sonsonate,7.02
EST014926,Estudiante 14926,Arquitectura,San Miguel,9.5
EST014927,Estudiante 14927,Administración,San Salvador,6.33
EST014928,Estudiante 14928,Contaduría,Santa Ana,5.09
EST014929,Estudiante 14929,Ingeniería Industrial,Sonsonate,5.1
EST014930,Estudiante 14930,Administración,Santa Ana,5.6
EST014931,Estudiante 14931,Ingeniería en Sistemas,Santa Ana,7.56
EST014932,Estudiante 14932,Arquitectura,Sonsonate,9.62
EST014933,Estudiante 14933,Administración,La Libertad,5.48
EST014934,Estudiante 14934,Administración,Sonsonate,9.4
EST014935,Estudiante 14935,Contaduría,La Libertad,6.22
EST014936,Estudiante 14936,Ingeniería en Sistemas,La Libertad,7.2
EST014937,Estudiante 14937,Ingeniería en Sistemas,San Salvador,6.32
EST014938,Estudiante 14938,Ingeniería en Sistemas,Sonsonate,5.53
EST014939,Estudiante 14939,Administración,Sonsonate,5.88
EST014940,Estudiante 14940,Ingeniería en Sistemas,La Libertad,9.01
EST014941,Estudiante 14941,Administración,Santa Ana,8.05
EST014942,Estudiante 14942,Arquitectura,Sonsonate,8.5
EST014943,Estudiante 14943,Ingeniería Industrial,Sonsonate,6.49
EST014944,Estudiante 14944,Ingeniería en Sistemas,Sonsonate,7.45
EST014945,Estudiante 14945,Arquitectura,La Libertad,7.43
EST014946,Estudiante 14946,Contaduría,La Libertad,8.88
EST014947,Estudiante 14947,Administración,Sonsonate,7.26
EST014948,Estudiante 14948,Administración,San Miguel,7.65
EST014949,Estudiante 14949,Arquitectura,La Libertad,7.49
EST014950,Estudiante 14950,Ingeniería en Sistemas,Sonsonate,8.04
EST014951,Estudiante 14951,Arquitectura,Sonsonate,5.05
EST014952,Estudiante 14952,Contaduría,La Libertad,6.7
EST014953,Estudiante 14953,Ingeniería Industrial,San Salvador,6.78
EST014954,Estudiante 14954,Ingeniería Industrial,Sonsonate,9.31
EST014955,Estudiante 14955,Ingeniería Industrial,Sonsonate,6.02
EST014956,Estudiante 14956,Arquitectura,Sonsonate,7.54
EST014957,Estudiante 14957,Administración,Santa Ana,8.8
EST014958,Estudiante 14958,Administración,San Miguel,9.5
EST014959,Estudiante 14959,Ingeniería Industrial,La Libertad,5.25
EST014960,Estudiante 14960,Ingeniería Industrial,San Miguel,7.59
EST014961,Estudiante 14961,Ingeniería Industrial,Sonsonate,6.83
EST014962,Estudiante 14962,Ingeniería en Sistemas,Santa Ana,6.41
EST014963,Estudiante 14963,Ingeniería Industrial,San Salvador,9.53
EST014964,Estudiante 14964,Ingeniería en Sistemas,Santa Ana,7.76
EST014965,Estudiante 14965,Administración,San Miguel,5.12
EST014966,Estudiante 14966,Ingeniería en Sistemas,Sonsonate,5.82
EST014967,Estudiante 14967,Ingeniería Industrial,San Miguel,8.87
EST014968,Estudiante 14968,Administración,Santa Ana,5.19
EST014969,Estudiante 14969,Administración,La Libertad,5.52
EST014970,Estudiante 14970,Administración,San Salvador,7.08
EST014971,Estudiante 14971,Administración,La Libertad,9.92
EST014972,Estudiante 14972,Administración,San Salvador,7.27
EST014973,Estudiante 14973,Administración,San Salvador,8.79
EST014974,Estudiante 14974,Ingeniería Industrial,Santa Ana,6.04
EST014975,Estudiante 14975,Arquitectura,Sonsonate,8.27
EST014976,Estudiante 14976,Administración,Santa Ana,7.86
EST014977,Estudiante 14977,Ingeniería Industrial,Sonsonate,9.79
EST014978,Estudiante 14978,Contaduría,Santa Ana,7.04
EST014979,Estudiante 14979,Ingeniería en Sistemas,Sonsonate,8.25
EST014980,Estudiante 14980,Ingeniería Industrial,Santa Ana,5.08
EST014981,Estudiante 14981,Ingeniería Industrial,Sonsonate,9.22
EST014982,Estudiante 14982,Ingeniería Industrial,La Libertad,5.01
EST014983,Estudiante 14983,Ingeniería Industrial,San Salvador,6.37
EST014984,Estudiante 14984,Ingeniería Industrial,San Salvador,9.07
EST014985,Estudiante 14985,Contaduría,Sonsonate,7.46
EST014986,Estudiante 14986,Contaduría,Sonsonate,8.01
EST014987,Estudiante 14987,Ingeniería en Sistemas,San Salvador,6.59
EST014988,Estudiante 14988,Administración,Sonsonate,9.31
EST014989,Estudiante 14989,Arquitectura,San Salvador,6.55
EST014990,Estudiante 14990,Ingeniería en Sistemas,Sonsonate,9.97
EST014991,Estudiante 14991,Ingeniería Industrial,La Libertad,8.18
EST014992,Estudiante 14992,Administración,San Miguel,9.43
EST014993,Estudiante 14993,Ingeniería Industrial,San Salvador,8.74
EST014994,Estudiante 14994,Ingeniería en Sistemas,San Salvador,6.82
EST014995,Estudiante 14995,Ingeniería en Sistemas,San Miguel,8.27
EST014996,Estudiante 14996,Contaduría,San Salvador,6.79
EST014997,Estudiante 14997,Ingeniería en Sistemas,Sonsonate,6.61
EST014998,Estudiante 14998,Arquitectura,La Libertad,8.97
EST014999,Estudiante 14999,Arquitectura,Sonsonate,7.16
EST015000,Estudiante 15000,Ingeniería en Sistemas,Sonsonate,5.83
EST015001,Estudiante 15001,Ingeniería Industrial,San Salvador,6.92
EST015002,Estudiante 15002,Ingeniería en Sistemas,Santa Ana,6.3
EST015003,Estudiante 15003,Contaduría,La Libertad,7.51
EST015004,Estudiante 15004,Administración,San Miguel,9.27
EST015005,Estudiante 15005,Arquitectura,La Libertad,7.87
EST015006,Estudiante 15006,Ingeniería Industrial,San Miguel,5.66
EST015007,Estudiante 15007,Arquitectura,Santa Ana,7.43
EST015008,Estudiante 15008,Arquitectura,Sonsonate,9.53
EST015009,Estudiante 15009,Contaduría,San Miguel,7.07
EST015010,Estudiante 15010,Administración,San Miguel,7.32
EST015011,Estudiante 15011,Ingeniería Industrial,Santa Ana,8.54
EST015012,Estudiante 15012,Ingeniería en Sistemas,Santa Ana,6.37
EST015013,Estudiante 15013,Administración,San Miguel,7.59
EST015014,Estudiante 15014,Contaduría,San Salvador,7.27
EST015015,Estudiante 15015,Ingeniería en Sistemas,San Salvador,5.41
EST015016,Estudiante 15016,Ingeniería en Sistemas,La Libertad,7.86
EST015017,Estudiante 15017,Ingeniería en Sistemas,San Salvador,7.49
EST015018,Estudiante 15018,Contaduría,San Miguel,7.45
EST015019,Estudiante 15019,Ingeniería Industrial,Santa Ana,6.51
EST015020,Estudiante 15020,Administración,Santa Ana,7.16
EST015021,Estudiante 15021,Ingeniería Industrial,Sonsonate,6.22
EST015022,Estudiante 15022,Contaduría,San Salvador,7.26
EST015023,Estudiante 15023,Administración,Santa Ana,9.79
EST015024,Estudiante 15024,Contaduría,San Miguel,9.5
EST015025,Estudiante 15025,Ingeniería Industrial,Santa Ana,8.34
EST015026,Estudiante 15026,Administración,La Libertad,9.07
EST015027,Estudiante 15027,Arquitectura,La Libertad,6.64
EST015028,Estudiante 15028,Ingeniería Industrial,Santa Ana,6.41
EST015029,Estudiante 15029,Administración,Sonsonate,7.84
EST015030,Estudiante 15030,Arquitectura,San Miguel,7.14
EST015031,Estudiante 15031,Administración,Sonsonate,6.95
EST015032,Estudiante 15032,Ingeniería Industrial,San Miguel,6.54
EST015033,Estudiante 15033,Arquitectura,San Salvador,9.71
EST015034,Estudiante 15034,Ingeniería en Sistemas,San Miguel,9.36
EST015035,Estudiante 15035,Ingeniería Industrial,Santa Ana,9.24
EST015036,Estudiante 15036,Administración,La Libertad,9.8
EST015037,Estudiante 15037,Arquitectura,San Miguel,6.56
EST015038,Estudiante 15038,Ingeniería en Sistemas,Sonsonate,6.26
EST015039,Estudiante 15039,Arquitectura,Santa Ana,9.21
EST015040,Estudiante 15040,Contaduría,La Libertad,7.62
EST015041,Estudiante 15041,Contaduría,Santa Ana,6.5
EST015042,Estudiante 15042,Contaduría,San Salvador,7.14
EST015043,Estudiante 15043,Administración,La Libertad,9.96
EST015044,Estudiante 15044,Arquitectura,La Libertad,6.99
EST015045,Estudiante 15045,Ingeniería Industrial,La Libertad,5.27
EST015046,Estudiante 15046,Administración,San Miguel,8.47
EST015047,Estudiante 15047,Ingeniería en Sistemas,La Libertad,9.26
EST015048,Estudiante 15048,Ingeniería Industrial,San Salvador,9.44
EST015049,Estudiante 15049,Administración,Santa Ana,7.02
EST015050,Estudiante 15050,Administración,San Miguel,9.03
EST015051,Estudiante 15051,Contaduría,San Salvador,7.01
EST015052,Estudiante 15052,Ingeniería en Sistemas,Santa Ana,7.39
EST015053,Estudiante 15053,Administración,San Salvador,6.47
EST015054,Estudiante 15054,Contaduría,San Salvador,6.8
EST015055,Estudiante 15055,Ingeniería Industrial,Sonsonate,7.4
EST015056,Estudiante 15056,Ingeniería en Sistemas,San Miguel,7.62
EST015057,Estudiante 15057,Ingeniería Industrial,Santa Ana,5.53
EST015058,Estudiante 15058,Ingeniería en Sistemas,San Salvador,8.97
EST015059,Estudiante 15059,Arquitectura,La Libertad,8.32
EST015060,Estudiante 15060,Administración,Santa Ana,8.25
EST015061,Estudiante 15061,Ingeniería en Sistemas,La Libertad,8.36
EST015062,Estudiante 15062,Contaduría,Santa Ana,9.59
EST015063,Estudiante 15063,Arquitectura,Santa Ana,5.41
EST015064,Estudiante 15064,Contaduría,Sonsonate,5.8
EST015065,Estudiante 15065,Contaduría,San Miguel,5.22
EST015066,Estudiante 15066,Administración,San Salvador,9.92
EST015067,Estudiante 15067,Ingeniería Industrial,Santa Ana,8.39
EST015068,Estudiante 15068,Ingeniería en Sistemas,La Libertad,7.04
EST015069,Estudiante 15069,Arquitectura,Santa Ana,9.58
EST015070,Estudiante 15070,Contaduría,San Miguel,5.38
EST015071,Estudiante 15071,Ingeniería Industrial,La Libertad,6.68
EST015072,Estudiante 15072,Ingeniería Industrial,San Salvador,9.65
EST015073,Estudiante 15073,Ingeniería en Sistemas,San Miguel,7.43
EST015074,Estudiante 15074,Contaduría,Santa Ana,7.7
EST015075,Estudiante 15075,Arquitectura,La Libertad,5.34
EST015076,Estudiante 15076,Administración,San Salvador,8.43
EST015077,Estudiante 15077,Ingeniería en Sistemas,La Libertad,8.6
EST015078,Estudiante 15078,Administración,San Miguel,9.29
EST015079,Estudiante 15079,Ingeniería Industrial,Santa Ana,5.42
EST015080,Estudiante 15080,Contaduría,La Libertad,8.3
EST015081,Estudiante 15081,Contaduría,Sonsonate,7.32
EST015082,Estudiante 15082,Arquitectura,Sonsonate,5.32
EST015083,Estudiante 15083,Contaduría,La Libertad,7.62
EST015084,Estudiante 15084,Ingeniería en Sistemas,San Miguel,6.87
EST015085,Estudiante 15085,Administración,San Miguel,9.53
EST015086,Estudiante 15086,Ingeniería en Sistemas,Sonsonate,7.59
EST015087,Estudiante 15087,Ingeniería en Sistemas,La Libertad,6.46
EST015088,Estudiante 15088,Administración,Santa Ana,6.21
EST015089,Estudiante 15089,Arquitectura,Santa Ana,5.34
EST015090,Estudiante 15090,Contaduría,Sonsonate,7.0
EST015091,Estudiante 15091,Administración,Sonsonate,9.69
EST015092,Estudiante 15092,Ingeniería en Sistemas,Sonsonate,7.06
EST015093,Estudiante 15093,Administración,La Libertad,7.1
EST015094,Estudiante 15094,Contaduría,San Salvador,5.53
EST015095,Estudiante 15095,Administración,La Libertad,5.9
EST015096,Estudiante 15096,Administración,Santa Ana,7.83
EST015097,Estudiante 15097,Ingeniería en Sistemas,San Miguel,5.86
EST015098,Estudiante 15098,Administración,San Miguel,8.02
EST015099,Estudiante 15099,Arquitectura,San Miguel,5.15
EST015100,Estudiante 15100,Contaduría,San Miguel,6.33
EST015101,Estudiante 15101,Arquitectura,San Miguel,8.8
EST015102,Estudiante 15102,Ingeniería Industrial,Santa Ana,8.47
EST015103,Estudiante 15103,Administración,La Libertad,6.5
EST015104,Estudiante 15104,Arquitectura,San Salvador,9.89
EST015105,Estudiante 15105,Arquitectura,San Miguel,6.12
EST015106,Estudiante 15106,Arquitectura,La Libertad,8.9
EST015107,Estudiante 15107,Arquitectura,San Miguel,6.45
EST015108,Estudiante 15108,Ingeniería Industrial,Santa Ana,8.73
EST015109,Estudiante 15109,Administración,San Salvador,5.13
EST015110,Estudiante 15110,Ingeniería en Sistemas,Sonsonate,6.72
EST015111,Estudiante 15111,Arquitectura,La Libertad,8.82
EST015112,Estudiante 15112,Administración,La Libertad,8.84
EST015113,Estudiante 15113,Ingeniería en Sistemas,San Salvador,8.55
EST015114,Estudiante 15114,Ingeniería en Sistemas,San Salvador,7.41
EST015115,Estudiante 15115,Administración,Santa Ana,9.8
EST015116,Estudiante 15116,Contaduría,La Libertad,6.1
EST015117,Estudiante 15117,Arquitectura,La Libertad,9.75
EST015118,Estudiante 15118,Arquitectura,La Libertad,7.19
EST015119,Estudiante 15119,Administración,La Libertad,6.31
EST015120,Estudiante 15120,Ingeniería Industrial,La Libertad,8.5
EST015121,Estudiante 15121,Ingeniería Industrial,Santa Ana,8.45
EST015122,Estudiante 15122,Ingeniería en Sistemas,Sonsonate,7.41
EST015123,Estudiante 15123,Ingeniería Industrial,San Miguel,5.69
EST015124,Estudiante 15124,Ingeniería Industrial,San Miguel,7.61
EST015125,Estudiante 15125,Ingeniería Industrial,San Salvador,7.41
EST015126,Estudiante 15126,Ingeniería en Sistemas,Sonsonate,8.16
EST015127,Estudiante 15127,Administración,La Libertad,6.02
EST015128,Estudiante 15128,Arquitectura,San Miguel,9.46
EST015129,Estudiante 15129,Arquitectura,La Libertad,8.38
EST015130,Estudiante 15130,Administración,Sonsonate,5.9
EST015131,Estudiante 15131,Ingeniería Industrial,San Miguel,6.15
EST015132,Estudiante 15132,Contaduría,La Libertad,5.48
EST015133,Estudiante 15133,Contaduría,Santa Ana,7.09
EST015134,Estudiante 15134,Arquitectura,Santa Ana,6.32
EST015135,Estudiante 15135,Contaduría,Sonsonate,8.62
EST015136,Estudiante 15136,Ingeniería en Sistemas,Sonsonate,6.33
EST015137,Estudiante 15137,Contaduría,San Miguel,6.89
EST015138,Estudiante 15138,Ingeniería Industrial,La Libertad,8.83
EST015139,Estudiante 15139,Ingeniería Industrial,Santa Ana,9.28
EST015140,Estudiante 15140,Arquitectura,San Miguel,6.5
EST015141,Estudiante 15141,Administración,Sonsonate,8.63
EST015142,Estudiante 15142,Ingeniería Industrial,Sonsonate,5.48
EST015143,Estudiante 15143,Ingeniería en Sistemas,San Miguel,9.16
